                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                     180                                      820                  1.5000000000000000E+000                  2.0000000000000000E-002                  2.8182884672246359E+007                  2.8705156028198116E+006                  7.0708762484045865E+003                  4.8707871900401116E+000                  1.4706396320426094E+000                 -2.1808636566570287E+000                  6.9654206180042844E-001                  1.0405703781859431E-005                  2.8288128245803346E-001                  2.3738452291571616E-005                  5.0339305964609265E-003                  9.3463347358729663E-003                  2.0850244238750366E-003                  1.5000000000000000E+000                  0.0000000000000000E+000                  1.0492077418980166E+000                  9.4839272370248755E-005                  4.2052466858161375E-001                  4.1313842970384460E-003                  2.7304574450680340E-003                  1.4067539126196606E-002                  3.1275366358125547E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4573733551641644E+004                  7.3970406545414217E+006                  3.0795843494604559E+009                  4.8408760339805896E+000                  4.8408760339805923E+000                  3.2446457119775975E-041                  1.5655570946346009E-001                  5.0000000000000000E+001                  1.0000000000000000E+003                  8.8938420133288175E+014                               "r24.08.1"                               "gfortran"                                 "13.3.0"                   "x86_64-macos-24.10.1"                                 "CRMATH"                               "20250505"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                       pp                                      cno                                tri_alpha 
                                       1                  1.5000000000000000E+000                  1.6750626552902242E-001                  3.8502938196278009E+000                 -7.4982942506566541E+000                  4.1580003500070459E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  4.6567474442202352E-027                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       2                  1.4999999999984999E+000                  1.6750323383332097E-001                  3.8521709273513776E+000                 -7.4858377210992053E+000                  4.1724017637813562E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  4.7922709892369066E-027                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       3                  1.4999999999966251E+000                  1.6749955127898933E-001                  3.8543511412660534E+000                 -7.4726418664561249E+000                  4.1878629570678108E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  4.9401432026526434E-027                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       4                  1.4999999999947500E+000                  1.6749597884517800E-001                  3.8577709071218211E+000                 -7.4540010445378684E+000                  4.2100699665893266E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  5.1568404086991840E-027                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                  1.4999999999909999E+000                  1.6748913391550094E-001                  3.8628065484204193E+000                 -7.4313367165615869E+000                  4.2380179872879484E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  5.4331558951547528E-027                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       6                  1.4999999999872500E+000                  1.6748263673883773E-001                  3.8684087698605243E+000                 -7.4110019873932345E+000                  4.2642772298903591E+000                  6.9999999940171498E-001                  2.8000000059828500E-001                  2.0000000000000018E-002                  5.6936492422236597E-027                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       7                  1.4999999999834999E+000                  1.6747643649180882E-001                  3.8735356784985755E+000                 -7.3962452777418379E+000                  4.2845034413943006E+000                  6.9999999940171498E-001                  2.8000000059828500E-001                  2.0000000000000018E-002                  5.8904739877802741E-027                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       8                  1.4999999999811560E+000                  1.6747269066908924E-001                  3.8778050619854763E+000                 -7.3858939039595475E+000                  4.2994458190442808E+000                  6.9999999940171498E-001                  2.8000000059828500E-001                  2.0000000000000018E-002                  6.0325874450518829E-027                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       9                  1.4999999999788125E+000                  1.6746903297861443E-001                  3.8824678735274736E+000                 -7.3765042017853819E+000                  4.3138916207673477E+000                  6.9999999940171498E-001                  2.8000000059828500E-001                  2.0000000000000018E-002                  6.1644618866637880E-027                  0.0000000000000000E+000                  0.0000000000000000E+000 
